shot_number,phase,total_points,gfile_exists_points,effective_converged_points,gfile_existence_rate_percent,effective_convergence_rate_percent,avg_error_percent
38203,ramp-down,2,1,1,50.0,50.0,1.4625356414245637e-07
38204,ramp-up,2,1,1,50.0,50.0,2.5921032435154923e-08
38204,ramp-down,2,1,1,50.0,50.0,1.9056587000888032e-08
38205,ramp-up,2,0,0,0.0,0.0,
38205,ramp-down,2,2,2,100.0,100.0,4.097763364931365e-08
38206,ramp-up,2,0,0,0.0,0.0,
38206,ramp-down,2,2,2,100.0,100.0,8.581905669979112e-08
38233,ramp-up,4,0,0,0.0,0.0,
38233,ramp-down,2,1,1,50.0,50.0,5.39024153714076e-08
38234,ramp-up,4,0,0,0.0,0.0,
38234,ramp-down,3,0,0,0.0,0.0,
38235,ramp-up,4,0,0,0.0,0.0,
38235,ramp-down,3,3,3,100.0,100.0,3.1122691916129704e-08
38236,ramp-up,5,0,0,0.0,0.0,
38236,ramp-down,3,1,1,33.33333333333333,33.33333333333333,1.1544672382341949e-08
38245,ramp-up,4,0,0,0.0,0.0,
38245,ramp-down,3,1,1,33.33333333333333,33.33333333333333,2.4464324599568232e-08
38246,ramp-up,4,0,0,0.0,0.0,
38246,ramp-down,4,1,1,25.0,25.0,6.016699053151573e-08
38247,ramp-up,4,0,0,0.0,0.0,
38247,ramp-down,4,2,2,50.0,50.0,6.986890095514492e-08
38248,ramp-up,4,0,0,0.0,0.0,
38248,ramp-down,5,3,3,60.0,60.0,2.3397815475402062e-08
38249,ramp-up,4,0,0,0.0,0.0,
38249,ramp-down,5,2,2,40.0,40.0,3.612661119778148e-08
38251,ramp-up,4,0,0,0.0,0.0,
38251,ramp-down,5,3,3,60.0,60.0,4.2820511695422364e-08
38252,ramp-up,4,0,0,0.0,0.0,
38252,ramp-down,4,1,1,25.0,25.0,1.2502005492180716e-07
38253,ramp-up,3,0,0,0.0,0.0,
38253,ramp-down,6,2,2,33.33333333333333,33.33333333333333,2.773130025847885e-08
38254,ramp-up,4,0,0,0.0,0.0,
38254,ramp-down,6,3,3,50.0,50.0,4.5858499540675394e-08
38255,ramp-up,5,0,0,0.0,0.0,
38255,ramp-down,3,1,1,33.33333333333333,33.33333333333333,2.346032878573488e-07
38256,ramp-up,4,0,0,0.0,0.0,
38256,ramp-down,4,3,3,75.0,75.0,7.428553570392101e-08
38257,ramp-up,4,0,0,0.0,0.0,
38257,ramp-down,6,1,1,16.666666666666664,16.666666666666664,2.8069741599794882e-08
38258,ramp-up,3,0,0,0.0,0.0,
38258,ramp-down,7,2,2,28.57142857142857,28.57142857142857,1.0881461640437773e-07
38259,ramp-up,3,0,0,0.0,0.0,
38259,ramp-down,7,1,1,14.285714285714285,14.285714285714285,1.4067395569619308e-07
38260,ramp-up,3,0,0,0.0,0.0,
38260,ramp-down,7,2,2,28.57142857142857,28.57142857142857,3.8759624284491054e-08
38266,ramp-up,3,0,0,0.0,0.0,
38266,ramp-down,7,1,1,14.285714285714285,14.285714285714285,5.7459357529555486e-08
38267,ramp-up,3,0,0,0.0,0.0,
38267,ramp-down,7,3,3,42.857142857142854,42.857142857142854,9.732716342878823e-08
38269,ramp-up,3,0,0,0.0,0.0,
38269,ramp-down,8,2,2,25.0,25.0,5.188129787875658e-08
38309,ramp-up,4,0,0,0.0,0.0,
38309,ramp-down,6,4,4,66.66666666666666,66.66666666666666,5.070471291226795e-08
38310,ramp-up,4,0,0,0.0,0.0,
38310,ramp-down,7,4,4,57.14285714285714,57.14285714285714,9.437081045247562e-08
38311,ramp-up,4,0,0,0.0,0.0,
38311,ramp-down,7,4,4,57.14285714285714,57.14285714285714,8.972476784167591e-08
38312,ramp-up,4,0,0,0.0,0.0,
38312,ramp-down,7,3,3,42.857142857142854,42.857142857142854,5.901174133499496e-08
38313,ramp-up,4,0,0,0.0,0.0,
38313,ramp-down,8,4,4,50.0,50.0,4.566597402227954e-08
38315,ramp-up,4,0,0,0.0,0.0,
38315,ramp-down,8,3,3,37.5,37.5,7.45785073657148e-08
38316,ramp-up,4,1,1,25.0,25.0,5.141613179925805e-08
38316,ramp-down,5,4,4,80.0,80.0,3.747278249498264e-08
38317,ramp-up,4,1,1,25.0,25.0,2.6097870804238263e-08
38317,ramp-down,6,4,4,66.66666666666666,66.66666666666666,5.748658262116515e-08
38318,ramp-up,4,0,0,0.0,0.0,
38318,ramp-down,6,3,3,50.0,50.0,8.312133064865313e-08
38319,ramp-up,4,0,0,0.0,0.0,
38319,ramp-down,5,5,5,100.0,100.0,7.251969822793021e-08
38320,ramp-up,4,0,0,0.0,0.0,
38320,ramp-down,7,3,3,42.857142857142854,42.857142857142854,4.4879268201420445e-08
38321,ramp-up,4,0,0,0.0,0.0,
38321,ramp-down,6,2,2,33.33333333333333,33.33333333333333,3.920064826280581e-08
38322,ramp-up,4,0,0,0.0,0.0,
38322,ramp-down,7,4,4,57.14285714285714,57.14285714285714,6.492298834958356e-08
38323,ramp-up,4,0,0,0.0,0.0,
38323,ramp-down,6,2,2,33.33333333333333,33.33333333333333,3.3919240505228244e-08
38324,ramp-up,4,0,0,0.0,0.0,
38324,ramp-down,6,3,3,50.0,50.0,8.137466968317032e-08
38345,ramp-down,1,0,0,0.0,0.0,
38347,ramp-up,3,1,1,33.33333333333333,33.33333333333333,1.3643499145639364e-07
38347,ramp-down,1,0,0,0.0,0.0,
38349,ramp-up,5,0,0,0.0,0.0,
38349,ramp-down,4,2,2,50.0,50.0,4.432443258182218e-08
38350,ramp-up,5,0,0,0.0,0.0,
38350,ramp-down,4,2,2,50.0,50.0,4.765901028853759e-08
38351,ramp-up,5,0,0,0.0,0.0,
38351,ramp-down,5,0,0,0.0,0.0,
38352,ramp-up,4,0,0,0.0,0.0,
38352,ramp-down,6,2,2,33.33333333333333,33.33333333333333,2.8993155883461717e-08
38353,ramp-up,4,0,0,0.0,0.0,
38353,ramp-down,7,3,3,42.857142857142854,42.857142857142854,5.030937462943866e-08
38354,ramp-up,4,0,0,0.0,0.0,
38354,ramp-down,7,1,1,14.285714285714285,14.285714285714285,6.086485486623383e-08
38355,ramp-up,4,0,0,0.0,0.0,
38355,ramp-down,7,4,4,57.14285714285714,57.14285714285714,6.154257076981617e-08
38356,ramp-up,4,0,0,0.0,0.0,
38356,ramp-down,7,3,3,42.857142857142854,42.857142857142854,2.898767647203464e-08
