shot_number,total_kfiles,gfile_exists_count,effective_converged_count,convergence_failures,gfile_existence_rate_percent,effective_convergence_rate_percent,max_kfile_current,max_gfile_current,avg_current_error_percent,max_current_error_percent,effective_converged_points
38331,1,0,0,0,0.0,0.0,21920.29798191231,,,,0
38345,2,0,0,0,0.0,0.0,24325.282273647164,,,,0
38347,5,1,1,0,20.0,20.0,39115.760753367584,39115.7607,1.3643499145639364e-07,1.3643499145639364e-07,1
38349,10,2,2,0,20.0,20.0,103997.79546780269,82217.0615,4.432443258182218e-08,7.9262544379129e-08,2
38350,10,2,2,0,20.0,20.0,104859.098506617,83992.1983,4.765901028853759e-08,6.089377503325468e-08,2
38351,11,0,0,0,0.0,0.0,104061.01734475684,,,,0
38352,11,2,2,0,18.181818181818183,18.181818181818183,102668.95978248851,88703.2532,2.8993155883461717e-08,3.3700556696832654e-08,2
38353,12,3,3,0,25.0,25.0,100492.42511227852,83139.763,5.030937462943866e-08,1.1644859741771816e-07,3
38354,12,1,1,0,8.333333333333332,8.333333333333332,103603.9615726632,89324.538,6.086485486623383e-08,6.086485486623383e-08,1
38355,12,4,4,0,33.33333333333333,33.33333333333333,102497.5000201965,88253.5257,6.154257076981617e-08,1.7268463017968276e-07,4
38356,12,3,3,0,25.0,25.0,103277.6330350061,90233.6055,2.898767647203464e-08,4.2675805924184664e-08,3
38357,12,3,3,0,25.0,25.0,102489.38559783272,88128.8749,1.7179173730397774e-08,2.2882431659814093e-08,3
38362,9,1,1,0,11.11111111111111,11.11111111111111,107457.15909709192,57395.3795,1.8113661626953585e-08,1.8113661626953585e-08,1
38363,9,1,1,0,11.11111111111111,11.11111111111111,111292.83555790062,82640.852,4.903226441603143e-08,4.903226441603143e-08,1
38364,10,2,2,0,20.0,20.0,112382.9639091963,90319.1111,4.952343605325907e-08,5.687529938310669e-08,2
38365,10,1,1,0,10.0,10.0,111305.72079998402,91578.647,5.160826064196681e-08,5.160826064196681e-08,1
38366,10,1,1,0,10.0,10.0,101280.77916628165,81476.472,7.04965446080317e-08,7.04965446080317e-08,1
38367,10,1,1,0,10.0,10.0,110897.25036817673,89135.9441,5.993848112345745e-08,5.993848112345745e-08,1
38368,11,2,2,0,18.181818181818183,18.181818181818183,111609.51727821688,93726.9211,7.067242244686022e-08,1.2613052191155384e-07,2
38371,11,1,1,0,9.090909090909092,9.090909090909092,104891.12922681402,52500.6334,7.900050767860757e-08,7.900050767860757e-08,1
38372,11,2,2,0,18.181818181818183,18.181818181818183,97856.56569528552,81519.9148,8.007690645031092e-08,1.1638747190157156e-07,2
38373,11,3,3,0,27.27272727272727,27.27272727272727,97590.47470652444,81493.0417,7.389504093656125e-08,1.1323718550914165e-07,3
38374,11,2,2,0,18.181818181818183,18.181818181818183,86600.1651122404,70894.488,3.947341005072106e-08,7.597147127035571e-08,2
38376,9,3,3,0,33.33333333333333,33.33333333333333,70318.83925299696,61246.2077,1.6213310569840042e-07,3.307867186917093e-07,3
38379,5,4,4,0,80.0,80.0,31325.217482269127,31325.2175,7.989440142996838e-08,1.452489900665185e-07,4
38380,8,1,1,0,12.5,12.5,55013.01289682792,52564.7222,6.922253790020426e-08,6.922253790020426e-08,1
38388,11,4,4,0,36.36363636363637,36.36363636363637,80469.64228119767,80469.6423,3.109214482283982e-08,4.4148773607472155e-08,4
38390,12,6,6,0,50.0,50.0,79338.61178303053,79338.6118,2.5493283184336812e-08,5.199285933995297e-08,6
38391,10,2,2,0,20.0,20.0,94304.48815407904,72949.822,4.709306877927255e-08,8.198977975156026e-08,2
38393,10,2,2,0,20.0,20.0,81296.44178472424,61048.3859,1.4522363835563143e-07,1.8587696385177756e-07,2
38396,9,2,2,0,22.22222222222222,22.22222222222222,71596.94053019214,51881.5709,6.035922347276573e-08,7.58892187103272e-08,2
38397,9,2,2,0,22.22222222222222,22.22222222222222,73791.2347972801,58995.0503,5.148037103801491e-08,6.477899844000772e-08,2
38409,11,1,1,0,9.090909090909092,9.090909090909092,49068.130630550855,15523.6579,2.4934448665986413e-07,2.4934448665986413e-07,1
38410,11,2,2,0,18.181818181818183,18.181818181818183,49468.1079874902,39835.6813,1.2180758962463142e-07,1.8440142237092722e-07,2
38411,5,4,4,0,80.0,80.0,32644.871635296968,32644.8716,1.029341908141658e-07,2.408947340745658e-07,4
38412,11,1,1,0,9.090909090909092,9.090909090909092,50824.26238932328,30774.5765,1.016224464996498e-07,1.016224464996498e-07,1
38413,11,1,1,0,9.090909090909092,9.090909090909092,51191.0330354496,23062.4315,1.7085261179277648e-07,1.7085261179277648e-07,1
38414,10,1,1,0,10.0,10.0,51736.26390043768,36737.6136,1.5484623822168734e-07,1.5484623822168734e-07,1
38415,10,1,1,0,10.0,10.0,57111.41022564108,22005.3036,3.025722348199143e-07,3.025722348199143e-07,1
38438,13,2,2,0,15.384615384615385,15.384615384615385,110141.44146512097,46173.7224,8.506674312014045e-08,1.2533852290915304e-07,2
38443,13,1,1,0,7.6923076923076925,7.6923076923076925,107953.9313030128,34794.3444,1.2588476116889869e-07,1.2588476116889869e-07,1
38444,11,1,1,0,9.090909090909092,9.090909090909092,75800.86602390827,38851.7326,2.8471078773990142e-08,2.8471078773990142e-08,1
38445,10,1,1,0,10.0,10.0,61708.03534477925,51455.0648,8.761144093459573e-08,8.761144093459573e-08,1
38447,13,1,1,0,7.6923076923076925,7.6923076923076925,108190.49623286474,34434.6875,2.0077789480044807e-08,2.0077789480044807e-08,1
38448,13,0,0,0,0.0,0.0,109143.77305621035,,,,0
38449,14,3,3,0,21.428571428571427,21.428571428571427,109306.66325571116,53950.1801,9.075829972521604e-08,1.0678796307804957e-07,3
38450,11,0,0,0,0.0,0.0,105957.01936116068,,,,0
38451,11,0,0,0,0.0,0.0,107315.70531007936,,,,0
38572,10,2,2,0,20.0,20.0,87844.50355668282,82009.4772,3.9927612501097076e-08,4.4455500385668015e-08,2
38573,11,4,4,0,36.36363636363637,36.36363636363637,90004.3030935298,86598.0923,4.5262321430710005e-08,1.1581609469267627e-07,4
38574,13,3,3,0,23.076923076923077,23.076923076923077,91867.75276456942,90069.896,5.312603669654335e-08,1.3138967208769114e-07,3
38575,8,3,3,0,37.5,37.5,66012.58156092007,66012.5815,7.57381354864527e-08,9.228553673886977e-08,3
38580,9,2,2,0,22.22222222222222,22.22222222222222,70204.97679369668,70185.1928,3.056150593222946e-08,4.806022970185759e-08,2
38628,4,0,0,0,0.0,0.0,28405.975930176188,,,,0
38629,7,4,4,0,57.14285714285714,57.14285714285714,53482.082926976895,53482.0829,4.085843737972854e-08,5.7517370738360013e-08,4
38631,8,5,5,0,62.5,62.5,64835.83813826356,64835.8381,5.696458995157556e-08,9.15405055039957e-08,5
38632,10,3,3,0,30.0,30.0,87462.07018637846,73487.6796,1.2767202860613932e-07,2.4674945094589374e-07,3
38633,9,0,0,0,0.0,0.0,115282.64766578456,,,,0
38634,11,0,0,0,0.0,0.0,106722.1386186449,,,,0
38636,11,1,1,0,9.090909090909092,9.090909090909092,110985.57823532284,31190.4823,4.3893745880012834e-08,4.3893745880012834e-08,1
38672,8,1,1,0,12.5,12.5,88418.80301047993,57747.9053,1.248992594586716e-07,1.248992594586716e-07,1
38673,8,2,2,0,25.0,25.0,95465.91730251862,72748.6974,8.281373670284789e-08,1.0264415637384669e-07,2
38674,9,1,1,0,11.11111111111111,11.11111111111111,98823.9991357064,61345.9481,9.839986075606436e-08,9.839986075606436e-08,1
38675,9,1,1,0,11.11111111111111,11.11111111111111,101179.0221301234,64182.5452,1.6771528194913072e-08,1.6771528194913072e-08,1
38676,9,2,2,0,22.22222222222222,22.22222222222222,101572.71339165074,70652.2241,8.183953398436725e-08,1.3539109707690017e-07,2
38677,9,1,1,0,11.11111111111111,11.11111111111111,101693.79419999252,80474.6016,5.977887656368004e-08,5.977887656368004e-08,1
38678,9,1,1,0,11.11111111111111,11.11111111111111,105492.03904751073,80771.7695,1.0221717298712376e-08,1.0221717298712376e-08,1
38679,10,1,1,0,10.0,10.0,105246.9548816,84086.9112,1.562852460257041e-09,1.562852460257041e-09,1
38680,10,1,1,0,10.0,10.0,108022.95163040826,86407.1806,5.1815299615956235e-08,5.1815299615956235e-08,1
38681,10,2,2,0,20.0,20.0,106790.17154709793,88025.8999,4.066445989325249e-08,4.8177309432629454e-08,2
38684,10,3,3,0,30.0,30.0,89605.14629377995,85697.4962,5.935848118263367e-08,7.079075992328202e-08,3
38685,10,1,1,0,10.0,10.0,108595.15356488733,28482.7503,2.6704196606364138e-08,2.6704196606364138e-08,1
38692,20,7,7,0,35.0,35.0,82627.22248850459,79377.2657,4.889611455554538e-08,1.2523804495638532e-07,7
38693,21,10,10,0,47.61904761904761,47.61904761904761,82296.5121650306,80162.919,8.913368175517747e-08,2.664727218908216e-07,10
38694,21,10,10,0,47.61904761904761,47.61904761904761,81228.3409072492,78321.0859,3.537483708557263e-08,7.207583081214626e-08,10
38695,19,10,10,0,52.63157894736842,52.63157894736842,75443.99692179378,74094.4503,6.288374751119597e-08,1.214567549259725e-07,10
38696,19,7,7,0,36.84210526315789,36.84210526315789,76015.87685657742,74330.46,3.3624787748063977e-08,8.869984167122624e-08,7
38697,20,9,9,0,45.0,45.0,77323.95743943083,75512.7667,4.4847924249301094e-08,1.3128794867390238e-07,9
38698,20,8,8,0,40.0,40.0,76712.10686572679,74650.2928,9.14840074825008e-08,2.149501638895249e-07,8
38699,21,10,10,0,47.61904761904761,47.61904761904761,77690.4831634164,75890.3249,4.254464465405171e-08,1.2422870621340758e-07,10
38700,21,10,10,0,47.61904761904761,47.61904761904761,76669.91441238341,74730.2355,6.900961743484135e-08,1.4569510914440372e-07,10
38701,21,11,11,0,52.38095238095239,52.38095238095239,76853.01372677293,74786.7112,5.503338938499859e-08,1.9574025643230701e-07,11
38702,21,8,8,0,38.095238095238095,38.095238095238095,78538.6904693418,76442.9236,4.643668012948349e-08,8.847694680270879e-08,8
38703,21,9,9,0,42.857142857142854,42.857142857142854,78463.77294369049,76407.9722,6.012915201343943e-08,1.3830198724187896e-07,9
38704,21,10,10,0,47.61904761904761,47.61904761904761,77800.76070756438,75359.9385,4.468425930553273e-08,1.0394239668026518e-07,10
38705,21,9,9,0,42.857142857142854,42.857142857142854,78249.075280665,76468.8714,8.262867674859706e-08,2.288470339445767e-07,9
38706,21,9,9,0,42.857142857142854,42.857142857142854,77721.7864905584,75686.3163,5.419689330583256e-08,1.4279454517920257e-07,9
38707,22,8,8,0,36.36363636363637,36.36363636363637,78424.00564752994,75609.6373,4.542429296960378e-08,9.840952175974823e-08,8
38713,13,2,2,0,15.384615384615385,15.384615384615385,116331.3296152308,96108.3455,3.561473190666786e-08,3.570576639674976e-08,2
38716,13,1,1,0,7.6923076923076925,7.6923076923076925,102088.76743081152,35091.1073,9.974444625315718e-08,9.974444625315718e-08,1
38718,12,1,1,0,8.333333333333332,8.333333333333332,104336.26989470016,67749.8523,4.8524868611202686e-08,4.8524868611202686e-08,1
38720,13,2,2,0,15.384615384615385,15.384615384615385,106944.85599232992,87564.9878,2.7696092318228536e-08,4.9067306758035967e-08,2
38722,13,1,1,0,7.6923076923076925,7.6923076923076925,106387.57960053552,86336.6636,6.656346053477245e-08,6.656346053477245e-08,1
38724,12,4,4,0,33.33333333333333,33.33333333333333,109406.72234072306,88412.1549,6.200387079998692e-08,1.1920865764122049e-07,4
38726,13,1,1,0,7.6923076923076925,7.6923076923076925,116604.7680620484,92646.1061,5.8594206121008286e-08,5.8594206121008286e-08,1
38728,13,2,2,0,15.384615384615385,15.384615384615385,117183.933395533,94866.2012,3.14487771402345e-08,3.1997487005156364e-08,2
38730,13,1,1,0,7.6923076923076925,7.6923076923076925,117651.4040797191,34358.4249,4.706659200338047e-08,4.706659200338047e-08,1
38732,13,3,3,0,23.076923076923077,23.076923076923077,118444.40287086072,96815.2341,5.659883556615663e-08,1.397257814381577e-07,3
38736,12,2,2,0,16.666666666666664,16.666666666666664,117057.80856025143,94294.1074,5.333617142913123e-08,6.622880869004915e-08,2
38740,13,2,2,0,15.384615384615385,15.384615384615385,116505.53630316062,93360.3534,5.308188093000619e-08,7.883402492424745e-08,2
38743,12,3,3,0,25.0,25.0,114601.04918636222,86818.1521,4.6940805772115064e-08,9.889882818038173e-08,3
38744,12,2,2,0,16.666666666666664,16.666666666666664,116997.12120395024,91996.9474,3.431401136814551e-08,4.951357439651791e-08,2
38746,12,2,2,0,16.666666666666664,16.666666666666664,116121.81024332302,91801.6482,8.242280868243524e-08,1.0421875076425993e-07,2
38747,12,1,1,0,8.333333333333332,8.333333333333332,116965.69920500464,45233.3869,1.2021513813866728e-07,1.2021513813866728e-07,1
38748,12,2,2,0,16.666666666666664,16.666666666666664,118626.40781210847,94701.4674,3.930099937521229e-08,6.670964182981143e-08,2
38749,12,2,2,0,16.666666666666664,16.666666666666664,110112.71077832024,87026.9395,8.042661466215058e-08,1.5296057348934234e-07,2
38750,12,3,3,0,25.0,25.0,119213.22439864914,96668.8348,2.4346662308023258e-08,6.460115060608017e-08,3
38766,16,8,8,0,50.0,50.0,82831.21203845792,75641.5386,6.413448974047597e-08,1.6151126340818152e-07,8
38767,18,8,8,0,44.44444444444444,44.44444444444444,81528.38718295867,75410.7654,4.240471740583317e-08,1.361037186586704e-07,8
38768,18,8,8,0,44.44444444444444,44.44444444444444,78326.42256876145,73741.1079,5.855466331702236e-08,1.2059736914371406e-07,8
38769,16,7,7,0,43.75,43.75,78583.64300947268,73774.4116,2.3992641513247365e-08,5.656826037327973e-08,7
38818,12,4,4,0,33.33333333333333,33.33333333333333,74716.26931888094,67434.7374,1.1482506393400496e-08,3.5292054660266695e-08,4
38819,17,8,8,0,47.05882352941176,47.05882352941176,71459.73915003013,69325.8566,4.832810918741125e-08,9.997770399925453e-08,8
38820,19,9,9,0,47.368421052631575,47.368421052631575,68823.83302973877,68178.9534,9.878954959770636e-08,1.826556107383357e-07,9
38821,12,0,0,0,0.0,0.0,59675.01396339588,,,,0
38822,10,1,1,0,10.0,10.0,56514.99029056925,45011.1977,1.2898410098839714e-07,1.2898410098839714e-07,1
38836,14,3,3,0,21.428571428571427,21.428571428571427,127779.17418603868,89238.4238,6.240798875258022e-08,1.2614392504845988e-07,3
38838,16,2,2,0,12.5,12.5,131565.33466539247,94185.2296,2.381034871830219e-08,3.6038615546875085e-08,2
38844,15,2,2,0,13.333333333333334,13.333333333333334,131177.82344761566,62001.3748,2.2349432702275846e-08,3.8731715739641634e-08,2
38848,14,2,2,0,14.285714285714285,14.285714285714285,113746.40176910465,88103.3443,1.6510429767661875e-08,2.799500527663482e-08,2
38849,13,3,3,0,23.076923076923077,23.076923076923077,112405.98368632833,86234.3358,9.460998962723255e-08,1.322286294286445e-07,3
38906,11,2,2,0,18.181818181818183,18.181818181818183,106854.14755516272,86650.7996,2.9662325346360688e-08,3.134042556277964e-08,2
38907,11,2,2,0,18.181818181818183,18.181818181818183,107605.92450216656,86225.9008,3.3466352881324656e-08,3.509411055323078e-08,2
38909,10,2,2,0,20.0,20.0,89813.71681464161,73529.7155,7.511555374136245e-08,1.3070613375991398e-07,2
38911,12,1,1,0,8.333333333333332,8.333333333333332,110315.7285126612,51662.1876,8.678866832225876e-09,8.678866832225876e-09,1
38913,12,1,1,0,8.333333333333332,8.333333333333332,109154.8873231342,26555.3503,7.985786263994218e-08,7.985786263994218e-08,1
38914,12,1,1,0,8.333333333333332,8.333333333333332,97026.84372562818,31653.4894,1.195146230404752e-07,1.195146230404752e-07,1
38915,12,1,1,0,8.333333333333332,8.333333333333332,111616.59371730972,80561.0732,5.792175773796615e-08,5.792175773796615e-08,1
38917,13,3,3,0,23.076923076923077,23.076923076923077,111658.4194368464,82333.3357,3.1033979590328835e-08,6.151370672050565e-08,3
38963,9,1,1,0,11.11111111111111,11.11111111111111,96614.75845090026,59110.9489,1.239310669179645e-07,1.239310669179645e-07,1
38964,9,1,1,0,11.11111111111111,11.11111111111111,99985.80509954727,73678.3886,3.3858848354630126e-08,3.3858848354630126e-08,1
38965,9,2,2,0,22.22222222222222,22.22222222222222,103477.05750274927,85439.1265,5.855980001343727e-08,7.114164133701633e-08,2
38966,10,0,0,0,0.0,0.0,104916.58518549708,,,,0
38967,10,1,1,0,10.0,10.0,107090.55601408285,28248.885,2.0111035798806245e-07,2.0111035798806245e-07,1
38968,10,2,2,0,20.0,20.0,108893.64803126076,74087.6818,3.2204937122765586e-08,5.610687181489356e-08,2
38969,10,1,1,0,10.0,10.0,109329.2234378824,75433.9544,3.6978002670813264e-08,3.6978002670813264e-08,1
38970,10,2,2,0,20.0,20.0,108399.62122562564,75630.9246,8.588748585507134e-08,1.4712571785312877e-07,2
38976,4,0,0,0,0.0,0.0,28611.87851591383,,,,0
38978,5,1,1,0,20.0,20.0,34888.32107982293,34084.116,7.79306544556377e-09,7.79306544556377e-09,1
38979,4,1,1,0,25.0,25.0,34878.97076489076,31968.0857,1.459176095842176e-07,1.459176095842176e-07,1
38981,6,1,1,0,16.666666666666664,16.666666666666664,76225.78772915495,61498.6352,1.133339193260519e-07,1.133339193260519e-07,1
38983,7,1,1,0,14.285714285714285,14.285714285714285,81181.5142133476,38244.4091,3.2459966719679125e-08,3.2459966719679125e-08,1
38987,6,1,1,0,16.666666666666664,16.666666666666664,62013.25367250448,27004.3067,1.365962540520339e-07,1.365962540520339e-07,1
