shotnumber,time,ip,md_index,type,measured,reconstructed,chi_squared
40594,0.317,31.4653001,0,Diamagnetic_Flux,0.0002222399925813079,0.00015548612282145768,4.456080193338284e-17
41509,0.323,76.5902515,0,Diamagnetic_Flux,0.0018547436920925975,0.0012647445546463132,3.4809886228929013e-15
41509,0.324,81.3291999,0,Diamagnetic_Flux,0.0022089332342147827,0.0013889019610360265,6.7245115590230595e-15
41509,0.325,81.44451910000001,0,Diamagnetic_Flux,0.002407902153208852,0.0013753112871199846,1.0662438881575871e-14
41509,0.326,81.3217852,0,Diamagnetic_Flux,0.002439008327201009,0.0013477059546858072,1.1909410293337551e-14
41509,0.328,82.764268,0,Diamagnetic_Flux,0.0022546767722815275,0.0013663003919646144,7.892125300989431e-15
41509,0.334,78.91174400000001,0,Diamagnetic_Flux,0.0017593696247786283,0.0012031510705128312,3.093791227978121e-15
41509,0.335,63.154204400000005,0,Diamagnetic_Flux,0.0013199507957324386,0.0007211811025626957,3.585252025952801e-15
40709,0.317,67.28823489999999,0,Diamagnetic_Flux,0.0007955733453854918,0.0010625753784552217,7.129010448918456e-16
40709,0.318,61.817470500000006,0,Diamagnetic_Flux,0.0007089553400874138,0.0008388006826862693,1.6859822885160385e-16
40709,0.319,54.7418492,0,Diamagnetic_Flux,0.0005719656473957002,0.0006091687246225774,1.3840680485535328e-17
40561,0.312,74.4227016,0,Diamagnetic_Flux,0.0006571571575477719,0.001316737849265337,4.350467519732967e-15
40184,0.312,52.3157697,0,Diamagnetic_Flux,0.0005884845741093159,0.0005865479470230639,3.7505270470774987e-20
39202,0.319,59.728304900000005,0,Diamagnetic_Flux,0.0007802324835211039,0.0009629824780859053,3.339755090421548e-16
39202,0.322,21.887349099999998,0,Diamagnetic_Flux,0.00012038816203130409,8.812110900180414e-05,1.0411630553156966e-17
41477,0.318,43.982613799999996,0,Diamagnetic_Flux,-6.823876174166799e-05,0.0007789792725816369,7.177783453054306e-15
43807,0.306,150.033683,0,Diamagnetic_Flux,0.002919353311881423,0.005027247127145529,4.4432177121606076e-14
43807,0.308,125.805398,0,Diamagnetic_Flux,0.0023046270944178104,0.0033074915409088135,1.005736767196834e-14
43807,0.31,108.912791,0,Diamagnetic_Flux,0.0015522282337769866,0.0023568992037326097,6.474954476938261e-15
43807,0.311,97.0899378,0,Diamagnetic_Flux,0.0012199782067909837,0.00181070645339787,3.4895987128017412e-15
44973,0.306,40.9181641,0,Diamagnetic_Flux,7.62665513320826e-05,0.000430087122367695,1.2518900262072671e-15
43829,0.307,133.573231,0,Diamagnetic_Flux,0.002492289524525404,0.0039077820256352425,2.0036184896540105e-14
43829,0.308,121.628503,0,Diamagnetic_Flux,0.0018794216448441148,0.0030952340457588434,1.4782000561206106e-14
43829,0.31,112.896589,0,Diamagnetic_Flux,0.0016696511302143335,0.0025729879271239042,8.16017311231279e-15
