      0           17
  0.104000E+00  0.575000E+00
  0.133700E+00  0.727900E+00
  0.133700E+00  0.118500E+01
  0.600000E+00  0.118500E+01
  0.600000E+00  0.600000E+00
  0.700000E+00  0.600000E+00
  0.700000E+00  0.585000E+00
  0.760000E+00  0.585000E+00
  0.760000E+00 -0.585000E+00
  0.700000E+00 -0.585000E+00
  0.700000E+00 -0.600000E+00
  0.600000E+00 -0.600000E+00
  0.600000E+00 -0.118500E+01
  0.133700E+00 -0.118500E+01
  0.133700E+00 -0.727900E+00
  0.104000E+00 -0.575000E+00
  0.104000E+00  0.575000E+00
